Date : 2022-06-20 14:59:09
Directory : c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots
Total : 184 files,  104852 codes, 3323 comments, 5732 blanks, all 113907 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\chargem.js                                                            | JavaScript |        110 |         87 |         37 |        234 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\csss\styles.css                                                       | CSS        |        177 |         17 |         29 |        223 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\detail.html                                                           | HTML       |        387 |         84 |         57 |        528 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\index.html                                                            | HTML       |        323 |         17 |         54 |        394 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\jss\main.js                                                           | JavaScript |         46 |          6 |          6 |         58 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\locator.html                                                          | HTML       |         96 |          5 |         42 |        143 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\login.html                                                            | HTML       |        212 |          0 |         34 |        246 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\main.html                                                             | HTML       |         10 |          0 |          2 |         12 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\main.js                                                               | JavaScript |         45 |          6 |          6 |         57 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\mapstyle.css                                                          | CSS        |         91 |          0 |          1 |         92 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\paycss.css                                                            | CSS        |        126 |          0 |         22 |        148 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\payment.html                                                          | HTML       |        138 |         33 |         15 |        186 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\script.js                                                             | JavaScript |          9 |          0 |          5 |         14 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\showslot.html                                                         | HTML       |        284 |         54 |        110 |        448 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap.min.css                                            | CSS        |      9,420 |          7 |      1,202 |     10,629 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\_media.css                                         | CSS        |         11 |          0 |          2 |         13 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\bootstrap-reboot.css                               | CSS        |        212 |          7 |         54 |        273 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_badge.css                                  | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_box-shadow.css                             | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_buttons.css                                | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_float.css                                  | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_nav-divider.css                            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_reset-text.css                             | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_text-emphasis.css                          | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_text-hide.css                              | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_text-truncate.css                          | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\mixins\_transition.css                             | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap\utilities\_stretched-link.css                      | CSS        |         10 |          0 |          1 |         11 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\owl.carousel.min.css                                         | CSS        |          1 |          5 |          0 |          6 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\style.css                                                    | CSS        |        351 |          0 |          9 |        360 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\fonts\icomoon\demo-files\demo.css                                | CSS        |        154 |          0 |          2 |        156 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\fonts\icomoon\demo-files\demo.js                                 | JavaScript |         28 |          0 |          3 |         31 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\fonts\icomoon\demo.html                                          | HTML       |     24,502 |          2 |      1,634 |     26,138 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\fonts\icomoon\fonts\icomoon.svg                                  | XML        |      1,530 |          0 |          0 |      1,530 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\fonts\icomoon\selection.json                                     | JSON       |     41,190 |          0 |          0 |     41,190 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\fonts\icomoon\style.css                                          | CSS        |      4,914 |          2 |          4 |      4,920 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\js\bootstrap.min.js                                              | JavaScript |          1 |          6 |          0 |          7 |
