"filename", "language", "HTML", "JavaScript", "CSS", "XML", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_table-row.scss", "SCSS", 0, 0, 0, 0, 29, 0, 0, 5, 6, 40
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_text-emphasis.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 2, 3, 17
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_text-hide.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_text-truncate.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 2, 2, 9
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_transition.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 1, 2, 17
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_visibility.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 2, 3, 9
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_align.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_background.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 1, 5, 20
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_borders.scss", "SCSS", 0, 0, 0, 0, 52, 0, 0, 7, 17, 76
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_clearfix.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_display.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 7, 7, 27
